observation_date,DCOILBRENTEU,DHHNGSP
04/28/17,49.46,3.11
05/01/17,50.41,3.13
05/02/17,49.31,3.06
05/03/17,48.82,3.06
05/04/17,47.53,2.99
05/05/17,47.45,3.06
05/08/17,46.61,3.13
05/09/17,47.06,3.2
05/10/17,48.09,3.2
05/11/17,49.18,3.13
05/12/17,49.08,3.14
05/15/17,51.29,3.11
05/16/17,51.21,3.1
05/17/17,51.76,3.06
05/18/17,51.71,3.03
05/19/17,52.78,3.03
05/22/17,53.35,3.23
05/23/17,53.19,3.24
05/24/17,53.29,3.26
05/25/17,52.25,3.27
05/26/17,50.84,3.27
05/29/17,52.25,3.13
05/30/17,50.65,3.11
05/31/17,49.4,3.24
06/01/17,50.41,3.22
06/02/17,48.46,3.22
06/05/17,48.25,3.1
06/06/17,48.11,3.1
06/07/17,47.08,3.1
06/08/17,46.3,3.1
06/09/17,46.64,3.05
06/12/17,47.18,3.05
06/13/17,46.95,2.85
06/14/17,45.47,2.92
06/15/17,45.61,2.92
06/16/17,45.7,3.06
06/19/17,45.93,2.98
06/20/17,43.98,3.03
06/21/17,44.62,3.12
06/22/17,44.46,3.12
06/23/17,44.14,2.95
06/26/17,44.09,2.94
06/27/17,46.17,3.01
06/28/17,46.45,2.87
06/29/17,47.02,2.91
06/30/17,47.08,2.91
07/03/17,49.13,2.88
07/04/17,49.15,2.89
07/05/17,47.58,2.98
07/06/17,48.53,2.99
07/07/17,46.47,3.03
07/10/17,46.57,3.07
07/11/17,46.68,2.98
07/12/17,46.73,2.98
07/13/17,47.65,2.98
07/14/17,47.89,2.98
07/17/17,47.66,2.89
07/18/17,47.92,2.91
07/19/17,48.34,2.92
07/20/17,48.54,2.98
07/21/17,47.47,3.01
07/24/17,47.81,2.96
07/25/17,49.19,2.94
07/26/17,50.08,3.04
07/27/17,50.67,3.11
07/28/17,52,3.11
07/31/17,51.99,3.12
08/01/17,50.77,3.06
08/02/17,52.09,2.99
08/03/17,52.88,2.99
08/04/17,52.48,2.92
08/07/17,51.42,2.95
08/08/17,52.18,2.96
08/09/17,52.16,2.87
08/10/17,52.59,2.8
08/11/17,51.47,2.8
08/14/17,51.29,2.76
08/15/17,49.9,2.76
08/16/17,50.39,2.8
08/17/17,50.37,2.81
08/18/17,50.96,2.81
08/21/17,51.94,2.89
08/22/17,52.29,2.96
08/23/17,52.31,3.02
08/24/17,51.73,2.96
08/25/17,51.87,2.94
08/28/17,51.87,2.91
08/29/17,51.64,2.9
08/30/17,51.91,3
08/31/17,52.69,3
09/01/17,53.15,2.94
09/04/17,52.6,2.97
09/05/17,53.63,2.93
09/06/17,54.48,2.95
09/07/17,54.16,2.95
09/08/17,54.55,2.95
09/11/17,54.2,2.92
09/12/17,55.06,2.88
09/13/17,55.52,2.88
09/14/17,56.76,2.88
09/15/17,56.18,2.98
09/18/17,55.5,2.92
09/19/17,56.58,2.88
09/20/17,57.2,2.88
09/21/17,57.73,2.88
09/22/17,58.16,3.02
09/25/17,59.42,3.03
09/26/17,59.77,3
09/27/17,58.74,3.11
09/28/17,58.8,3.18
09/29/17,57.02,3.13
10/02/17,55.67,3.11
10/03/17,56.12,2.93
10/04/17,56,2.96
10/05/17,57.09,2.96
10/06/17,55.5,2.98
10/09/17,55.29,2.96
10/10/17,56.62,2.94
10/11/17,56.13,2.94
10/12/17,56.13,2.73
10/13/17,56.86,2.8
10/16/17,57.49,2.8
10/17/17,57.63,2.93
10/18/17,58.05,2.87
10/19/17,57.82,2.89
10/20/17,57.89,2.89
10/23/17,57.69,2.95
10/24/17,57.84,2.99
10/25/17,58.45,2.87
10/26/17,58.75,2.88
10/27/17,60.15,2.81
10/30/17,60.65,2.83
10/31/17,61.35,2.8
11/01/17,60.98,2.95
11/02/17,60.79,2.95
11/03/17,61.42,2.98
11/06/17,64.27,2.91
11/07/17,64.36,2.78
11/08/17,63.96,2.94
11/09/17,64.49,2.84
11/10/17,64.35,2.68
11/13/17,62.94,2.68
11/14/17,60.91,2.75
11/15/17,61.25,3.01
11/16/17,61.18,3.07
11/17/17,61.34,3.16
11/20/17,61.34,3.18
11/21/17,62.28,3.17
11/22/17,62.92,3.13
11/23/17,63.27,3.06
11/24/17,63.58,3.16
11/27/17,63.25,3.09
11/28/17,63.56,3.04
11/29/17,63.74,3.04
11/30/17,63.53,3.05
12/01/17,64.57,3.05
12/04/17,63.45,3.05
12/05/17,63.45,3.05
12/06/17,62.25,2.88
12/07/17,62.37,2.88
12/08/17,63.86,3.06
12/11/17,65.62,3.06
12/12/17,64.96,2.84
12/13/17,63.66,2.91
12/14/17,63.72,2.86
12/15/17,63.81,2.86
12/18/17,64.45,2.81
12/19/17,63.69,2.78
12/20/17,64.43,2.81
12/21/17,64.64,2.87
12/22/17,64.61,2.87
12/27/17,66.03,2.69
12/28/17,66.8,2.6
12/29/17,66.73,2.71
01/02/18,66.65,2.75
01/03/18,67.85,2.72
01/04/18,68.73,2.64
01/05/18,68.01,2.63
01/08/18,68.48,2.68
01/09/18,69.08,2.76
01/10/18,69.79,2.97
01/11/18,70.36,3.69
01/12/18,69.64,6.24
01/15/18,70.31,6.24
01/16/18,69.4,4.65
01/17/18,69.19,2.89
01/18/18,69.48,2.93
01/19/18,68.56,3.16
01/22/18,69.32,3.16
01/23/18,69.81,4.06
01/24/18,69.91,5.46
01/25/18,71.08,3.92
01/26/18,70.08,3.92
01/29/18,68.41,3.2
01/30/18,67.78,3.13
01/31/18,67.78,3.35
02/01/18,68.6,3.54
02/02/18,67.45,3.54
02/05/18,67.69,3.58
02/06/18,66.75,3.6
02/07/18,65.74,3.6
02/08/18,64.26,3.34
02/09/18,63.04,3.06
02/12/18,62.2,2.91
02/13/18,61.94,2.85
02/14/18,62.29,2.75
02/15/18,62.86,2.74
02/16/18,64.3,2.74
02/19/18,64.95,2.66
02/20/18,64.68,2.6
02/21/18,64.81,2.58
02/22/18,66.12,2.53
02/23/18,67.04,2.49
02/26/18,67.96,2.49
02/27/18,67.59,2.61
02/28/18,66.08,2.65
03/01/18,64.23,2.65
03/02/18,64.26,2.58
03/05/18,65.78,2.6
03/06/18,65.67,2.59
03/07/18,65.09,2.66
03/08/18,63.87,2.67
03/09/18,65.19,2.67
03/12/18,64.53,2.7
03/13/18,64.2,2.7
03/14/18,63.61,2.8
03/15/18,63.67,2.8
03/16/18,64.68,2.71
03/19/18,64.82,2.78
03/20/18,66,2.76
03/21/18,68.15,2.69
03/22/18,68.98,2.7
03/23/18,69.03,2.62
03/26/18,68.81,2.62
03/27/18,68.63,2.71
03/28/18,68.13,2.74
03/29/18,69.02,2.62
04/03/18,69.02,2.58
04/04/18,66.04,2.63
04/05/18,66.54,2.6
04/06/18,66.51,2.64
04/09/18,68.19,2.81
04/10/18,70.67,2.75
04/11/18,72.74,2.75
04/12/18,71.44,2.81
04/13/18,73.18,2.81
04/16/18,72.05,2.81
04/17/18,71.71,2.78
04/18/18,73.73,2.78
04/19/18,74.85,2.74
04/20/18,74.62,2.76
04/23/18,74.54,2.82
04/24/18,75.86,2.88
04/25/18,73.79,2.84
04/26/18,75.39,2.85
04/27/18,75.33,2.8
04/30/18,75.92,2.78
05/01/18,74.85,2.78
05/02/18,73.14,2.79
05/03/18,73.45,2.81
05/04/18,74.75,2.81
05/07/18,74.75,2.82
